site_id,lat,lon,species_richness,climate_refugia_score,habitat_connectivity,cost,region,mean_temp,annual_precip,elevation,annual_precip_norm,climate_refugia_score_norm,cost_norm,elevation_norm,habitat_connectivity_norm,mean_temp_norm,species_richness_norm,biological_value,variable
S011,40.06099,-106.629379,68.91,0.889,0.688,5016.43,montane,10.9,600.28,2277.2,0.3787762906309752,0.8379562043795621,0.38457998813286365,0.3738372093023255,0.7766990291262135,0.4184466019417476,0.4812089878703519,0.6986214071253758,x_10
S013,37.604249,-108.210981,62.92,0.966,0.587,4917.3,montane,11.29,759.65,2950.8,0.6327119184193755,0.9503649635036496,0.36057204441699675,0.6042065663474692,0.654126213592233,0.4563106796116504,0.3620998210379797,0.6555303327112875,x_12
S024,39.052014,-104.52875,89.08,0.923,0.506,4407.08,montane,9.94,769.54,2859.7,0.648470363288719,0.8875912408759125,0.23700366912485926,0.5730506155950751,0.5558252427184467,0.3252427184466019,0.8822827599920461,0.7752330811954685,x_23
S032,39.293331,-103.945669,83.35,0.657,0.657,4572.96,montane,11.46,599.87,1969.5,0.37812300828553225,0.4992700729927007,0.2771775590026762,0.2686046511627907,0.7390776699029127,0.47281553398058257,0.768343607078942,0.6688971166581851,x_31
S033,38.360272,-102.929086,77.08,0.815,0.849,6241.99,montane,9.89,736.83,2972.3,0.596351179094965,0.72992700729927,0.6813940252600478,0.6115595075239398,0.9720873786407767,0.32038834951456313,0.6436667329488963,0.7818937062963144,x_32
S034,38.086098,-102.749366,83.95,1.0,0.419,5632.04,montane,8.16,857.43,3740.4,0.7885117909496495,1.0,0.5336723943764305,0.8742476060191517,0.45024271844660196,0.15242718446601944,0.7802744084310996,0.7435057089592338,x_33
S047,37.274861,-108.063952,81.94,1.0,0.558,6316.57,montane,9.27,977.17,4054.5,0.979302103250478,1.0,0.699456291398748,0.9816689466484267,0.6189320388349515,0.2601941747572815,0.740306223901372,0.7864127542454412,x_46
S064,37.449623,-108.067554,81.98,1.0,0.468,5604.16,montane,7.82,853.33,3125.9,0.7819789674952201,1.0,0.5269202358896115,0.6640902872777017,0.5097087378640778,0.11941747572815538,0.7411016106581826,0.7502701161740868,x_63
S066,38.916786,-108.431164,79.79,1.0,0.838,6848.41,montane,8.24,838.77,3330.7,0.7587794773741238,1.0,0.8282607379421417,0.7341313269493842,0.9587378640776698,0.16019417475728157,0.6975541857228078,0.8854306832668258,x_65
S067,39.378739,-102.655253,70.14,0.958,0.472,4253.39,foothills,8.93,778.89,2599.6,0.6633683875079669,0.9386861313868613,0.19978203218658055,0.48409712722298215,0.5145631067961165,0.22718446601941744,0.5056671306422748,0.6529721229417509,x_66
S077,40.05612,-108.322346,67.23,0.679,0.778,4140.0,riparian,13.87,592.1,1910.5,0.3657425111536011,0.5313868613138686,0.1723205095603105,0.2484268125854993,0.8859223300970874,0.7067961165048543,0.4478027440843111,0.6217039784984224,x_76
S100,39.153586,-106.234865,95.0,0.778,0.511,4578.7,montane,8.05,771.41,2365.2,0.6514499681325685,0.6759124087591241,0.2785677092793742,0.4039329685362516,0.5618932038834952,0.14174757281553405,1.0,0.7459352042142063,x_99
