site_id,lat,lon,species_richness,climate_refugia_score,habitat_connectivity,cost,region,mean_temp,annual_precip,elevation,annual_precip_norm,climate_refugia_score_norm,cost_norm,elevation_norm,habitat_connectivity_norm,mean_temp_norm,species_richness_norm,biological_value,variable
S023,40.172095,-104.984512,57.72,0.346,0.175,4104.66,foothills,15.86,497.29,1658.9,0.21467495219885283,0.0452554744525547,0.16376164008670274,0.16238030095759237,0.15412621359223302,0.8999999999999999,0.2586995426526148,0.15269374356580082,x_22
S040,40.586162,-102.386368,66.38,0.347,0.536,3433.83,montane,12.49,513.57,1378.9,0.24061504142766105,0.04671532846715324,0.0012956975575495356,0.0666210670314638,0.5922330097087379,0.5728155339805825,0.4309007755020878,0.35661637122599305,x_39
S047,37.274861,-108.063952,81.94,1.0,0.558,6316.57,montane,9.27,977.17,4054.5,0.979302103250478,1.0,0.699456291398748,0.9816689466484267,0.6189320388349515,0.2601941747572815,0.740306223901372,0.7864127542454412,x_46
S050,40.803753,-106.362024,62.2,0.501,0.564,4346.13,riparian,13.65,395.01,1184.1,0.051704907584448685,0.27153284671532846,0.22224240442716853,0.0,0.6262135922330097,0.6854368932038835,0.3477828594153908,0.41517643278790967,x_49
S059,37.811647,-104.946618,73.98,0.995,0.794,7069.17,riparian,10.15,862.04,3099.2,0.7958572339069472,0.9927007299270071,0.8817258207093643,0.6549589603283172,0.9053398058252428,0.34563106796116505,0.5820242592960828,0.8266882650161108,x_58
S064,37.449623,-108.067554,81.98,1.0,0.468,5604.16,montane,7.82,853.33,3125.9,0.7819789674952201,1.0,0.5269202358896115,0.6640902872777017,0.5097087378640778,0.11941747572815538,0.7411016106581826,0.7502701161740868,x_63
S066,38.916786,-108.431164,79.79,1.0,0.838,6848.41,montane,8.24,838.77,3330.7,0.7587794773741238,1.0,0.8282607379421417,0.7341313269493842,0.9587378640776698,0.16019417475728157,0.6975541857228078,0.8854306832668258,x_65
S078,40.260887,-103.908727,55.18,0.315,0.658,5440.16,riparian,12.5,362.56,1695.4,0.0,0.0,0.48720165655538206,0.17486320109439127,0.7402912621359223,0.5737864077669903,0.2081924835951481,0.3161612485770235,x_77
S080,37.45282,-103.219633,74.26,1.0,0.408,7201.17,montane,6.59,880.08,4108.1,0.8246016571064373,1.0,0.913694433344232,1.0,0.4368932038834952,0.0,0.5875919665937563,0.6748283901590838,x_79
S083,40.510765,-108.550516,54.39,0.473,0.473,4309.08,foothills,16.89,610.9,1383.8,0.395697896749522,0.23065693430656928,0.2132693961080636,0.068296853625171,0.5157766990291263,1.0,0.19248359514814078,0.3129724094946121,x_82
S091,37.750013,-108.119809,89.31,1.0,0.488,6660.95,montane,7.2,832.75,3490.6,0.7491873804971321,1.0,0.7828604642714426,0.7888166894664842,0.5339805825242718,0.05922330097087381,0.8868562338437066,0.8069456054559927,x_90
S100,39.153586,-106.234865,95.0,0.778,0.511,4578.7,montane,8.05,771.41,2365.2,0.6514499681325685,0.6759124087591241,0.2785677092793742,0.4039329685362516,0.5618932038834952,0.14174757281553405,1.0,0.7459352042142063,x_99
